"MealId","Name","Rating","Description","PreparationTime","CookTime","Instructions","Yield","YieldUnitId","Servings","Ethnicity","Source","Type","ChillTime"
0,"Slow Cooker Chili",0,,12:25:00 AM,08:00:00 AM,"In a small skillet, cook the beef, onion, green pepper, celery and garlic over medium heat until meat is no longer pink and vegetables are tender; drain.  

Transfer to a 1 1/2 qt. slow cooker.  Stir in the remaining ingredients.  Cover and cook on low for 8-10 hours.",4,"Cup",2,"American","Cooking for Two","Slow Cooker",
1,"Chili with Corn Bread Topping",0,,12:20:00 AM,12:15:00 AM,"In a large skillet, cook beef and onion over medium heat until meat is no longer pink; drain.  Stir in chili and water.  Bring to a boil.  Reduce heat; cover and simmer for 10 minutes.  Pour into two 2-cup baking dishes.  

In a small bowl, combine the corn bread mix, milk and egg.  Stir in cheese and corn just until combined.  Spread batter evenly over chili.  Bake at 400° for 15-18 minutes or until topping is golden brown.",,,2,"American","Cooking for Two","Main Dish",
2,"Kielbasa Potato Chowder",0,"Can replace kale with 1/3 cup chopped fresh spinach.  Also can replace cream with 2% milk.",12:15:00 AM,12:20:00 AM,"In a large nonstick skillet, brown kielbasa and bacon; drain, reserving 1 tsp. drippings.  Add onion and garlic; cook over medium heat for 2-3 minutes or until onion is tender.  In a large saucepan, bring broth and water to a boil.  Add the potatoes, bouillon and pepper.  Cook for 10 minutes or until potatoes are tender. 

 Add the meat mixture and kale; cook over medium heat for 2 minutes or until kale is wilted.  Reduce heat.  Add the cream; cook 1 minute longer or until heated through.",4,"Cup",2,"American","Cooking for Two","Soup",
3,"Parmesan Herb Chicken",0,"Can substitute fresh parsley with 1 tsp. dried parsley flakes",12:10:00 AM,12:45:00 AM,"In a shallow dish, combine the first seven ingredients.  Brush chicken with butter, then coat with crumb mixture.  

Place in an 11""x7""x2"" baking dish coated with nonstick cooking spray.  Bake, uncovered, at 350° for 45-50 minutes ur until a meat thermometer reads 170°.",,,2,"American","Cooking for Two","Main Dish",
4,"Ham and Spaetzle Bake",0,,12:20:00 AM,12:15:00 AM,"Cook spaetzle according to package directions.  Meanwhile, in a small saucepan, saute onion in butter until tender.  Stir in flour; gradually add milk.  Bring to a boil; cook and stir for 2 minutes or until thickened.  Remove from the heat.  

Drain spaetzle; stir the spaetzle, broccoli, cheese, ham, mustard and pepper into the white sauce.  Transfer to 3-cup baking dish coated with nonstick cooking spray.  Bake, uncovered, at 375° for 15-18 minutes or until bubbly.",,,2,"European","Cooking for Two","Main Dish",
5,"Steak with Dipping Sauce",0,"Dipping sauce:  1 Tbs. prepared horseradish, 1 Tbs. ketchup, 1 Tbs. honey",12:15:00 AM,12:20:00 AM,"Rub steaks with salt and pepper.  In a large skillet, cook steaks in oil over medium heat for 4-5 minutes on each side or until meat reaches desired doneness.  Remove and keep warm.  In same skillet, saute mushrooms for 2 minutes.  

Add the beans, beer and garlic; cover and cook for 10 minutes or until beans are crisp-tender.  Meanwhile, in a small bowl, combine dipping sauce ingredients.  Serve with steaks and vegetables.",,,2,"American","Cooking for Two","Main Dish",
6,"Maple Pot Roast",,,12:15:00 AM,02:00:00 AM,"In a Dutch oven coated with nonstick cooking spray, brown meat on both sides.  Combine the orange juice, syrup, vinegar, Worcestershire sauce, orange peel, salt and pepper; pour over roast.  Bring to a boil.  Reduce heat; cover and simmer for 1 hour.  Add the carrot, celery and onions; cover and simmer for 20 minutes.  

Add potato; cover and simmer for 20 minutes or until tender.  Serve roast and vegetables with pan juices.",,,2,"American","Cooking for Two","Main Dish",
7,"Beef Flautas",0,,01:25:00 AM,12:05:00 AM,"In a small saucepan, combine the first seven ingredients; add enough water just to cover.  Bring to a boil.  Reduce heat; cover and simmer for 55 minutes or until meat is tender. 

 Meanwhile, in a small nonstick skillet, saute tomatillos and onions in oil until tender.  Remove from the heat; stir in chilies, cilantro, garlic, salt and pepper.  Cool slightly.  Process in a food processor or blender until pureed.  Transfer to a small bowl; cover and refrigerate until serving.  Remove meat from saucepan.  Strain liquid, reserving onion mixture.  When meat is cool enough to handle, shred with two forks.  

Combine onion mixture and meat; divide between tortillas.  Roll up and secure with toothpicks. In an electric skillet or deep-fat fryer, heat oil to 375°.  Cook flautas until golden brown, turning to cook all sides.  Drain on paper towels.  Serve with salsa verde.",,,2,"Mexican","Cooking for Two","Main Dish",
8,"Three-Berry Cobbler",0,"Can be served with whipped cream or ice cream",12:20:00 AM,12:15:00 AM,"In a small bowl, combine berries and 2 Tbs sugar; let stand for 30 minutes.  Drain berries, reserving juice.  If necessary, add water to the juice to measure 1/2 cup.  In a small saucepan, combine cornstarch and juice.  Bring to a boil; cook and stir for 1-2 minutes or until thickened.  Stir in berries and cinnamon.  

Pour into a 3-cup baking dish coated with nonstick cooking spray.  In a small bowl, combine the flour, baking powder, salt and remaining sugar.  Cut in butter until mixture resembles coarse crumbs.  Stir in milk just until moistened.  Drop dough in four mounds onto hot fruit mixture.  Bake at 375° for 15-20 minutes or until biscuits are golden brown.",,,2,"American","Cooking for Two","Dessert",
9,"Individual Apple Crisps",0,,12:15:00 AM,12:20:00 AM,"In a small bowl, combine the apple, sugar and water.  Divide between two 6-oz. ramekins or custard cups coated with nonstick cooking spray.  In a small bowl, combine the flour, brown sugar, cinnamon, nutmeg and salt.  Cut in butter until mixture resembles coarse crumbs.  Sprinkle over apple mixture.  Bake at 375° for 20-25 minutes or until tender.",,,2,"American","Cooking for Two","Dessert",
